Date,Open,High,Low,Close,Volume,Adj Close
2022-08-30,54.5,56.1,54.0,55.0,703000.0,
2022-08-31,54.2,55.8,54.2,55.2,520000.0,
2022-09-01,55.3,57.6,55.0,57.1,941000.0,
2022-09-02,57.4,57.4,55.0,55.5,580000.0,
2022-09-05,55.5,55.5,53.3,53.5,456000.0,
2022-09-06,53.5,54.2,50.8,51.0,543000.0,
2022-09-07,51.0,52.5,50.2,51.2,323000.0,
2022-09-08,51.4,52.2,50.9,51.0,382000.0,
2022-09-12,51.7,52.8,51.3,52.0,206000.0,
2022-09-13,52.5,53.6,52.5,52.9,330000.0,
2022-09-14,51.9,52.2,51.2,52.0,267000.0,
2022-09-15,52.8,52.9,51.5,51.6,172000.0,
2022-09-16,52.5,52.8,51.9,52.4,340000.0,
2022-09-19,53.0,53.0,51.4,51.4,232000.0,
2022-09-20,51.7,52.2,51.4,51.8,111000.0,
2022-09-21,53.1,56.0,52.4,55.1,981000.0,
2022-09-22,56.3,60.6,56.3,60.6,2998000.0,
2022-09-23,61.8,65.0,57.7,64.1,3324000.0,
2022-09-26,62.1,63.7,58.5,58.5,1718000.0,
2022-09-27,60.2,64.3,60.0,64.3,2058000.0,
2022-09-28,65.0,68.7,62.5,62.9,3578000.0,
2022-09-29,64.1,65.7,61.2,62.9,1988000.0,
2022-09-30,60.4,63.3,58.6,62.3,1611000.0,
2022-10-03,61.0,62.3,59.7,60.3,1037000.0,
2022-10-04,61.5,63.2,60.5,62.0,1173000.0,
2022-10-05,62.4,64.5,61.1,63.8,1894000.0,
2022-10-06,65.1,70.0,65.1,69.8,3539000.0,
2022-10-07,67.9,71.7,67.0,69.7,2324000.0,
2022-10-11,72.0,75.0,69.0,72.8,4050000.0,
2022-10-12,71.7,71.7,68.0,70.9,2097000.0,
